id	journal_name	show_at_home_order	abstract	resource_links	pp_pages	issue	volume	pmc_id	pm_id	doi	other_link	year_published	article_name	assay_development	data_analysis	data_generation	data_integration	data_standards	signature_generation	software_development	review	created_at	updated_at	analytical_method_development	center_pub
11	Journal of Proteome Research	NULL	"Panorama is a web application for storing, sharing, analyzing, and reusing targeted assays created and refined with Skyline,1 an increasingly popular Windows client software tool for targeted proteomics experiments. Panorama allows laboratories to store and organize curated results contained in Skyline documents with fine-grained permissions, which facilitates distributed collaboration and secure sharing of published and unpublished data via a web-browser interface. It is fully integrated with the Skyline workflow and supports publishing a document directly to a Panorama server from the Skyline user interface. Panorama captures the complete Skyline document information content in a relational database schema. Curated results published to Panorama can be aggregated and exported as chromatogram libraries. These libraries can be used in Skyline to pick optimal targets in new experiments and to validate peak identification of target peptides. Panorama is open-source and freely available. It is distributed as part of LabKey Server,2 an open source biomedical research data management system. Laboratories and organizations can set up Panorama locally by downloading and installing the software on their own servers. They can also request freely hosted projects on https://panoramaweb.org , a Panorama server maintained by the Department of Genome Sciences at the University of Washington."	"{\Panorama\"":\""https://panoramaweb.org/\""}"""	4205-10	9	13	PMC4156235	25102069	10.1021/pr5006636	NULL	2014	Panorama: a targeted proteomics knowledge base.	0	1	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	0	1
12	Trends in Pharmacological Sciences	NULL	"Data sets from recent large-scale projects can be integrated into one unified puzzle that can provide new insights into how drugs and genetic perturbations applied to human cells are linked to whole-organism phenotypes. Data that report how drugs affect the phenotype of human cell lines and how drugs induce changes in gene and protein expression in human cell lines can be combined with knowledge about human disease, side effects induced by drugs, and mouse phenotypes. Such data integration efforts can be achieved through the conversion of data from the various resources into single-node-type networks, gene-set libraries, or multipartite graphs. This approach can lead us to the identification of more relationships between genes, drugs, and phenotypes as well as benchmark computational and experimental methods. Overall, this lean 'Big Data' integration strategy will bring us closer toward the goal of realizing personalized medicine."	"{\Review of multiple tools and databases\"":null}"""	450-60	9	35	PMC4153537	25109570	10.1016/j.tips.2014.07.001	NULL	2014	Lean Big Data integration in systems biology and systems pharmacology.	0	0	0	1	0	0	0	1	5/19/16 18:33	5/19/16 18:33	0	1
13	PeerJ	NULL	"Bioinformatics and computer aided drug design rely on the curation of a large number of protocols for biological assays that measure the ability of potential drugs to achieve a therapeutic effect. These assay protocols are generally published by scientists in the form of plain text, which needs to be more precisely annotated in order to be useful to software methods. We have developed a pragmatic approach to describing assays according to the semantic definitions of the BioAssay Ontology (BAO) project, using a hybrid of machine learning based on natural language processing, and a simplified user interface designed to help scientists curate their data with minimum effort. We have carried out this work based on the premise that pure machine learning is insufficiently accurate, and that expecting scientists to find the time to annotate their protocols manually is unrealistic. By combining these approaches, we have created an effective prototype for which annotation of bioassay text within the domain of the training set can be accomplished very quickly. Well-trained annotations require single-click user approval, while annotations from outside the training set domain can be identified using the search feature of a well-designed user interface, and subsequently used to improve the underlying models. By drastically reducing the time required for scientists to annotate their assays, we can realistically advocate for semantic annotation to become a standard part of the publication process. Once even a small proportion of the public body of bioassay data is marked up, bioinformatics researchers can begin to construct sophisticated and useful searching and analysis algorithms that will provide a diverse and powerful set of tools for drug discovery researchers."	"{\LIFE\"":\""http://life.ccs.miami.edu/life/\""}"""	e524	NULL	2	PMC4137659	25165633	10.7717/peerj.524	NULL	2014	Fast and accurate semantic annotation of bioassays exploiting a hybrid of machine learning and user confirmation.	0	0	0	0	1	0	0	0	5/19/16 18:33	5/19/16 18:33	0	1
14	Nucleic Acids Research	NULL	"For the Library of Integrated Network-based Cellular Signatures (LINCS) project many gene expression signatures using the L1000 technology have been produced. The L1000 technology is a cost-effective method to profile gene expression in large scale. LINCS Canvas Browser (LCB) is an interactive HTML5 web-based software application that facilitates querying, browsing and interrogating many of the currently available LINCS L1000 data. LCB implements two compacted layered canvases, one to visualize clustered L1000 expression data, and the other to display enrichment analysis results using 30 different gene set libraries. Clicking on an experimental condition highlights gene-sets enriched for the differentially expressed genes from the selected experiment. A search interface allows users to input gene lists and query them against over 100 000 conditions to find the top matching experiments. The tool integrates many resources for an unprecedented potential for new discoveries in systems biology and systems pharmacology. The LCB application is available at http://www.maayanlab.net/LINCS/LCB. Customized versions will be made part of the http://lincscloud.org and http://lincs.hms.harvard.edu websites."	"{\LINCS Canvas Browser\"":\""http://www.maayanlab.net/LINCS/LCB\""}"""	W449-60	NULL	42	PMC4086130	24906883	10.1093/nar/gku476	NULL	2014	"LINCS Canvas Browser: interactive web app to query, browse and interrogate LINCS L1000 gene expression signatures."	0	1	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	1	1
15	Journal of Biomedical Semantics	NULL	"The lack of established standards to describe and annotate biological assays and screening outcomes in the domain of drug and chemical probe discovery is a severe limitation to utilize public and proprietary drug screening data to their maximum potential. We have created the BioAssay Ontology (BAO) project (http://bioassayontology.org) to develop common reference metadata terms and definitions required for describing relevant information of low-and high-throughput drug and probe screening assays and results. The main objectives of BAO are to enable effective integration, aggregation, retrieval, and analyses of drug screening data. Since we first released BAO on the BioPortal in 2010 we have considerably expanded and enhanced BAO and we have applied the ontology in several internal and external collaborative projects, for example the BioAssay Research Database (BARD). We describe the evolution of BAO with a design that enables modeling complex assays including profile and panel assays such as those in the Library of Integrated Network-based Cellular Signatures (LINCS). One of the critical questions in evolving BAO is the following: how can we provide a way to efficiently reuse and share among various research projects specific parts of our ontologies without violating the integrity of the ontology and without creating redundancies. This paper provides a comprehensive answer to this question with a description of a methodology for ontology modularization using a layered architecture. Our modularization approach defines several distinct BAO components and separates internal from external modules and domain-level from structural components. This approach facilitates the generation/extraction of derived ontologies (or perspectives) that can suit particular use cases or software applications. We describe the evolution of BAO related to its formal structures, engineering approaches, and content to enable modeling of complex assays and integration with other ontologies and datasets."	"{\LIFE\"":\""http://life.ccs.miami.edu/life/\""}"""	S5	Suppl 1 Proceedings of the Bio-Ontologies Spec Interest G	5	PMC4108877	25093074	10.1186/2041-1480-5-S1-S5	NULL	2014	"Evolving BioAssay Ontology (BAO): modularization, integration and applications."	0	0	0	0	1	0	0	0	5/19/16 18:33	5/19/16 18:33	0	1
16	IEEE Journal of Biomedical and Health Informatics	NULL		"{\CellIA\"":null}"""	991-8	3	18	PMC3990667	24058034	10.1109/JBHI.2013.2281915	NULL	2014	Red blood cells tracking using optical flow methods.	1	0	0	0	0	0	0	0	5/19/16 18:33	5/19/16 18:33	0	1
17	BMC Biology	NULL	"BACKGROUND: Soluble growth factors present in the microenvironment play a major role in tumor development, invasion, metastasis, and responsiveness to targeted therapies. While the biochemistry of growth factor-dependent signal transduction has been studied extensively in individual cell types, relatively little systematic data are available across genetically diverse cell lines. RESULTS: We describe a quantitative and comparative dataset focused on immediate-early signaling that regulates the AKT (AKT1/2/3) and ERK (MAPK1/3) pathways in a canonical panel of well-characterized breast cancer lines. We also provide interactive web-based tools to facilitate follow-on analysis of the data. Our findings show that breast cancers are diverse with respect to ligand sensitivity and signaling biochemistry. Surprisingly, triple negative breast cancers (TNBCs; which express low levels of ErbB2, progesterone and estrogen receptors) are the most broadly responsive to growth factors and HER2amp cancers (which overexpress ErbB2) the least. The ratio of ERK to AKT activation varies with ligand and subtype, with a systematic bias in favor of ERK in hormone receptor positive (HR+) cells. The factors that correlate with growth factor responsiveness depend on whether fold-change or absolute activity is considered the key biological variable, and they differ between ERK and AKT pathways. CONCLUSIONS: Responses to growth factors are highly diverse across breast cancer cell lines, even within the same subtype. A simple four-part heuristic suggests that diversity arises from variation in receptor abundance, an ERK/AKT bias that depends on ligand identity, a set of factors common to all receptors that varies in abundance or activity with cell line, and an \indirect negative regulation\"" by ErbB2. This analysis sets the stage for the development of a mechanistic and predictive model of growth factor signaling in diverse cancer lines. Interactive tools for looking up these results and downloading raw data are available at http://lincs.hms.harvard.edu/niepel-bmcbiol-2014/."""	"{\Publication Summary\"":\""http://lincs.hms.harvard.edu/niepel-bmcbiol-2014/\"", \""Project Explorer\"":\""http://lincs.hms.harvard.edu/explore/breast-cancer-signaling/\""}"""	20	NULL	12	PMC4234128	24655548	10.1186/1741-7007-12-20	NULL	2014	Analysis of growth factor signaling in genetically diverse breast cancer lines.	0	1	1	1	0	1	0	0	5/19/16 18:33	5/19/16 18:33	0	1
18	Journal of Biomolecular Screening	NULL	"The National Institutes of Health Library of Integrated Network-based Cellular Signatures (LINCS) program is generating extensive multidimensional data sets, including biochemical, genome-wide transcriptional, and phenotypic cellular response signatures to a variety of small-molecule and genetic perturbations with the goal of creating a sustainable, widely applicable, and readily accessible systems biology knowledge resource. Integration and analysis of diverse LINCS data sets depend on the availability of sufficient metadata to describe the assays and screening results and on their syntactic, structural, and semantic consistency. Here we report metadata specifications for the most important molecular and cellular components and recommend them for adoption beyond the LINCS project. We focus on the minimum required information to model LINCS assays and results based on a number of use cases, and we recommend controlled terminologies and ontologies to annotate assays with syntactic consistency and semantic integrity. We also report specifications for a simple annotation format (SAF) to describe assays and screening results based on our metadata specifications with explicit controlled vocabularies. SAF specifically serves to programmatically access and exchange LINCS data as a prerequisite for a distributed information management infrastructure. We applied the metadata specifications to annotate large numbers of LINCS cell lines, proteins, and small molecules. The resources generated and presented here are freely available."	"{\LIFE\"":\""http://life.ccs.miami.edu/life/\"",\""Data Standards\"":\""http://amp.pharm.mssm.edu/LINCS/data/standards\""}"""	803-816	5	19	NULL	24518066	10.1177/1087057114522514	NULL	2014	"Metadata standard and data exchange specifications to describe, model, and integrate complex and diverse high-throughput screening data from the Library of Integrated Network-based Cellular Signatures (LINCS)."	0	0	0	0	1	0	1	0	5/19/16 18:33	5/19/16 18:33	0	1
19	Analytical Chemistry	NULL		"{\Publication Summary\"":\""http://lincs.hms.harvard.edu/mcallister-analchem-2013/\""}"""	4666-74	9	85	PMC3771683	23607489	10.1021/ac303478g	NULL	2013	Mass spectrometry based method to increase throughput for kinome analyses using ATP probes.	1	0	0	0	0	0	0	0	5/19/16 18:33	5/19/16 18:33	0	1
20	BMC Bioinformatics	NULL	"BACKGROUND: System-wide profiling of genes and proteins in mammalian cells produce lists of differentially expressed genes/proteins that need to be further analyzed for their collective functions in order to extract new knowledge. Once unbiased lists of genes or proteins are generated from such experiments, these lists are used as input for computing enrichment with existing lists created from prior knowledge organized into gene-set libraries. While many enrichment analysis tools and gene-set libraries databases have been developed, there is still room for improvement. RESULTS: Here, we present Enrichr, an integrative web-based and mobile software application that includes new gene-set libraries, an alternative approach to rank enriched terms, and various interactive visualization approaches to display enrichment results using the JavaScript library, Data Driven Documents (D3). The software can also be embedded into any tool that performs gene list analysis. We applied Enrichr to analyze nine cancer cell lines by comparing their enrichment signatures to the enrichment signatures of matched normal tissues. We observed a common pattern of up regulation of the polycomb group PRC2 and enrichment for the histone mark H3K27me3 in many cancer cell lines, as well as alterations in Toll-like receptor and interlukin signaling in K562 cells when compared with normal myeloid CD33+ cells. Such analyses provide global visualization of critical differences between normal tissues and cancer cell lines but can be applied to many other scenarios. CONCLUSIONS: Enrichr is an easy to use intuitive enrichment analysis web-based tool providing various types of visualization summaries of collective functions of gene lists. Enrichr is open source and freely available online at: http://amp.pharm.mssm.edu/Enrichr."	"{\Enrichr\"":\""http://amp.pharm.mssm.edu/Enrichr\""}"""	128	NULL	14	PMC3637064	23586463	10.1186/1471-2105-14-128	NULL	2013	Enrichr: Interactive and collaborative HTML5 gene list enrichment analysis tool.	0	1	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	1	1
21	Nucleic Acids Research	NULL	"High-throughput data sets such as genome-wide protein-protein interactions, protein-DNA interactions and gene expression data have been published for several model systems, especially for human cancer samples. The University of California, Santa Cruz (UCSC) Interaction Browser (http://sysbio.soe.ucsc.edu/nets) is an online tool for biologists to view high-throughput data sets simultaneously for the analysis of functional relationships between biological entities. Users can access several public interaction networks and functional genomics data sets through the portal as well as upload their own networks and data sets for analysis. Users can navigate through correlative relationships for focused sets of genes belonging to biological pathways using a standard web browser. Using a new visual modality called the CircleMap, multiple 'omics' data sets can be viewed simultaneously within the context of curated, predicted, directed and undirected regulatory interactions. The Interaction Browser provides an integrative viewing of biological networks based on the consensus of many observations about genes and their products, which may provide new insights about normal and disease processes not obvious from any isolated data set."	"{\UCSC Interaction Browser\"":\""http://sysbio.soe.ucsc.edu/nets\""}"""	W218-24	Web Server issue	41	PMC3692096	23748957	10.1093/nar/gkt473	NULL	2013	The UCSC Interaction Browser: multidimensional data views in pathway context.	0	0	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	0	1
22	PLoS Computational Biology	NULL	"Identifying transcription factors (TF) involved in producing a genome-wide transcriptional profile is an essential step in building mechanistic model that can explain observed gene expression data. We developed a statistical framework for constructing genome-wide signatures of TF activity, and for using such signatures in the analysis of gene expression data produced by complex transcriptional regulatory programs. Our framework integrates ChIP-seq data and appropriately matched gene expression profiles to identify True REGulatory (TREG) TF-gene interactions. It provides genome-wide quantification of the likelihood of regulatory TF-gene interaction that can be used to either identify regulated genes, or as genome-wide signature of TF activity. To effectively use ChIP-seq data, we introduce a novel statistical model that integrates information from all binding \peaks\"" within 2 Mb window around a gene's transcription start site (TSS), and provides gene-level binding scores and probabilities of regulatory interaction. In the second step we integrate these binding scores and regulatory probabilities with gene expression data to assess the likelihood of True REGulatory (TREG) TF-gene interactions. We demonstrate the advantages of TREG framework in identifying genes regulated by two TFs with widely different distribution of functional binding events (ERα and E2f1). We also show that TREG signatures of TF activity vastly improve our ability to detect involvement of ERα in producing complex diseases-related transcriptional profiles. Through a large study of disease-related transcriptional signatures and transcriptional signatures of drug activity, we demonstrate that increase in statistical power associated with the use of TREG signatures makes the crucial difference in identifying key targets for treatment, and drugs to use for treatment. All methods are implemented in an open-source R package treg. The package also contains all data used in the analysis including 494 TREG binding profiles based on ENCODE ChIP-seq data. The treg package can be downloaded at http://GenomicsPortals.org."""	"{\TREG\"":\""http://genomicsportals.org/\""}"""	e1003198	9	9	PMC3764016	24039560	10.1371/journal.pcbi.1003198	NULL	2013	"Genome-wide signatures of transcription factor activity: connecting transcription factors, disease, and small molecules."	0	1	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	0	1
23	Clinical Pharmacology and Therapeutics	NULL	"The wealth of genomic information currently available to researchers and clinicians has dramatically changed the way some diseases are defined. However, leveraging this information is a major challenge, in part because previously established concepts and tools used for research and development are largely inadequate. Using the example of cancer genomics, this article focuses on systems-biology approaches to inform the development of personalized medicine."	NULL	309-11	4	93	PMC3609407	23321554	10.1038/clpt.2012.219	NULL	2013	Functionalizing genomic data for personalization of medicine.	0	0	0	0	0	0	0	1	5/19/16 18:33	5/19/16 18:33	0	1
24	CPT: Pharmacometrics and Systems Pharmacology	NULL	"Genome-wide expression data from tumors and cell lines in breast cancer, together with drug response of cell lines, open prospects for integrative analyses that can lead to better personalized therapy. Drug responses and expression data collected from cell lines and tumors were used to generate tripartite networks connecting clusters of patients to cell lines and cell lines to drugs, to connect drugs to patients. Various approaches were applied to connect cell lines to tumor clusters: a standard method that uses a biomarker gene set, and new methods that compute metasignatures for transcription factors and histone modifications given upregulated genes in cell lines or tumors. The results from the metasignature analysis identify two major clusters of patients: one enriched for active histone marks and one for repressive marks. The tumors enriched for activation marks are correlated with poor prognosis. Overall, the analyses suggest new patient clustering, discover dysregulated pathways, and recommend individualized use of drugs to treat subsets of patients.CPT: Pharmacometrics & Systems Pharmacology (2013) 2, e35; doi:10.1038/psp.2013.11; advance online publication 27 March 2013."	NULL	e35	NULL	2	PMC3615534	23836026	10.1038/psp.2013.11	NULL	2013	Metasignatures identify two major subtypes of breast cancer.	0	1	0	1	0	0	0	0	5/19/16 18:33	5/19/16 18:33	1	1
