abstract,analytical_method_development,article_name,assay_development,authors,center,center_pub,comments,created_at,data_analysis,data_generation,data_integration,data_standards,doi,issue,journal_name,other_link,pm_id,pmc_id,pp_pages,publication_id,resource_links,review,scopus_citations,show_at_home_order,signature_generation,software_development,updated_at,volume,year_published,PMCID,citations,n_citations,citation_years,YEAR,Proteomics,Microenvironment,DCIC,Drug Toxicity,HMS,Transcriptomics,NeuroLINCS,InternalExternal
"Drug repurposing, the application of an existing therapeutic to a new disease indication, holds promise of rapid clinical impact at a lower cost than de novo drug development. So far, there has not been a systematic effort to identify such opportunities, limited in part by the lack of a comprehensive library of clinical compounds suitable for testing. To address this challenge, we hand-curated a collection of 4,707 compounds, experimentally confirmed their identities, and annotated them with literature-reported targets. The collection includes 3,422 drugs that are marketed around the world or that have been tested in human clinical trials. Compounds were obtained from more than 50 chemical vendors, and the purity of each sample was established. We have thus established a blueprint for others to easily assemble such a repurposing library, and we have created an online Drug Repurposing Hub (http://www.broadinstitute.org/repurposing) that contains detailed annotation for each of the compounds.",0.0,The Drug Repurposing Hub: a next-generation drug library and information resource.,0.0,"Corsello SM, Bittker JA, Liu Z, Gould J, McCarren P, Hirschman JE, Johnston SE, Vrcic A, Wong B, Khan M, Asiedu J, Narayan R, Mader CC, Subramanian A, Golub TR",,1.0,,4/11/17 0:00,1.0,1.0,1.0,0.0,10.1038/nm.4306,4,Nature Medicine,,28388612.0,,405-408,130.0,"{\Drug Repurposing Hub\"": \""https://clue.io/repurposing\""}""",0.0,,,0.0,1.0,,23,2017.0,PMC5568558,"['6027196', '5918430', '6029548', '5990023', '6022535', '5814751', '5805407', '5835698', '5944452', '6042083', '5844338', '5857178', '6063895', '5759325', '5709193', '5820538', '6083343', '5864870', '5805620', '5898022', '5753377', '5712546', '6070956']",23.0,"[2018, 2018, 0, 0, 2018, 0, 2018, 2018, 2018, 2018, 2018, 0, 2018, 2017, 2017, 2018, 2018, 2018, 2017, 2018, 2017, 2017, 2018]",0.0,0,0,0,0,0,1,0,internal
"Brain microvascular endothelial cells (BMECs) are an essential component of the blood-brain barrier (BBB) that shields the brain against toxins and immune cells. While BBB dysfunction exists in neurological disorders, including Huntington's disease (HD), it is not known if BMECs themselves are functionally compromised to promote BBB dysfunction. Further, the underlying mechanisms of BBB dysfunction remain elusive given limitations with mouse models and post-mortem tissue to identify primary deficits. We undertook a transcriptome and functional analysis of human induced pluripotent stem cell (iPSC)-derived BMECs (iBMEC) from HD patients or unaffected controls. We demonstrate that HD iBMECs have intrinsic abnormalities in angiogenesis and barrier properties, as well as in signaling pathways governing these processes. Thus, our findings provide an iPSC-derived BBB model for a neurodegenerative disease and demonstrate autonomous neurovascular deficits that may underlie HD pathology with implications for therapeutics and drug delivery.",0.0,Huntington's disease iPSC-derived brain microvascular endothelial cells reveal WNT-mediated angiogenic and blood-brain barrier deficits.,0.0,"Lim RG, Quan C, Reyes-Ortiz AM, Lutz SE, Kedaigle AJ, Gipson TA, Wu J, Vatine GD, Stocksdale J, Casale MS, Svendsen CN, Fraenkel E, Housman DE, Agalliu D, Thompson LM",,1.0,,6/14/17 0:00,1.0,1.0,0.0,0.0,10.1016/j.celrep.2017.04.021,7,Cell Reports,,28514657.0,,1365-1377,138.0,,0.0,,,0.0,0.0,,19,2017.0,PMC5646270,"['5696836', '5951019', '5797533', '5658344', '5663983', '5812426', '6080833', '5819713', '5728434', '5789839', '5668574', '5713119', '5959231', '5883398']",14.0,"[0, 2017, 2018, 2017, 2017, 2018, 2018, 2018, 2017, 2018, 2017, 2017, 0, 2018]",0.0,0,0,0,0,0,0,1,internal
Measuring drug response in cancer cell lines is essential for studying mechanisms of drug action and identifying genetic variants associated with sensitivity and resistance (preclinical pharmacogenomics). ,1.0,Alternative drug sensitivity metrics improve preclinical cancer pharmacogenomics.,1.0,"Hafner M, Niepel M, Sorger PK",,1.0,,10/20/17 0:00,1.0,0.0,0.0,0.0,10.1038/nbt.3882,6,Nature Biotechnology,,28591115.0,,500-502,172.0,,0.0,,,0.0,0.0,,35,2017.0,PMC5668135,"['5662764', '5655815', '6026530', '5799026', '5935540', '5674849', '5753377']",7.0,"[2017, 2017, 2018, 2017, 2018, 2017, 2017]",0.0,0,0,0,0,1,0,0,internal
"We previously piloted the concept of a Connectivity Map (CMap), whereby genes, drugs, and disease states are connected by virtue of common gene-expression signatures. Here, we report more than a 1,000-fold scale-up of the CMap as part of the NIH LINCS Consortium, made possible by a new, low-cost, high-throughput reduced representation expression profiling method that we term L1000. We show that L1000 is highly reproducible, comparable to RNA sequencing, and suitable for computational inference of the expression levels of 81% of non-measured transcripts. We further show that the expanded CMap can be used to discover mechanism of action of small molecules, functionally annotate genetic variants of disease genes, and inform clinical trials. The 1.3 million L1000 profiles described here, as well as tools for their analysis, are available at https://clue.io.",0.0,"A Next Generation Connectivity Map: L1000 Platform and the First 1,000,000 Profiles.",1.0,"Subramanian A, Narayan R, Corsello SM, Peck DD, Natoli TE, Lu X, Gould J, Davis JF, Tubelli AA, Asiedu JK, Lahr DL, Hirschman JE, Liu Z, Donahue M, Julian B, Khan M, Wadden D, Smith IC, Lam D, Liberzon A, Toder C, Bagul M, Orzechowski M, et al",,1.0,,12/11/17 0:00,1.0,1.0,0.0,0.0,10.1016/j.cell.2017.10.049,6,Cell,,29195078.0,,1437-1452,192.0,"{\CLUE Platform\"":\""https://clue.io\""}""",0.0,,,0.0,1.0,,171,2017.0,PMC5990023,"['6027196', '6030474', '5996185', '5998894', '5885494', '6057493', '6022535', '5989327', '5726721', '6007090', '6031047', '6044382', '5951639', '5939113', '5726792', '6068465', '5864870', '5946941', '6063738', '5916369', '5897933', '5799026', '5902191', '6097907', '6022536']",25.0,"[2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2017, 2018, 2018, 2018, 2018, 2018, 2017, 2018, 2018, 2018, 2018, 2018, 2018, 2017, 0, 2018, 2018]",0.0,0,0,0,0,0,1,0,internal
"Gene expression profiling of in vitro drug perturbations is useful for many biomedical discovery applications including drug repurposing and elucidation of drug mechanisms. However, limited data availability across cell types has hindered our capacity to leverage or explore the cell-specificity of these perturbations. While recent efforts have generated a large number of drug perturbation profiles across a variety of human cell types, many gaps remain in this combinatorial drug-cell space. Hence, we asked whether it is possible to fill these gaps by predicting cell-specific drug perturbation profiles using available expression data from related conditions--i.e. from other drugs and cell types. We developed a computational framework that first arranges existing profiles into a three-dimensional array (or tensor) indexed by drugs, genes, and cell types, and then uses either local (nearest-neighbors) or global (tensor completion) information to predict unmeasured profiles. We evaluate prediction accuracy using a variety of metrics, and find that the two methods have complementary performance, each superior in different regions in the drug-cell space. Predictions achieve correlations of 0.68 with true values, and maintain accurate differentially expressed genes (AUC 0.81). Finally, we demonstrate that the predicted profiles add value for making downstream associations with drug targets and therapeutic classes.",1.0,Cell-specific prediction and application of drug-induced gene expression profiles.,0.0,"Hodos R, Zhang P, Lee HC, Duan Q, Wang Z, Clark NR, Ma'ayan A, Wang F, Kidd B, Hu J, Sontag D, Dudley J",,1.0,,12/11/17 0:00,1.0,0.0,0.0,0.0,10.1142/9789813235533_0004,,Pacific Symposium on Biocomputing,,29218867.0,,32-43,193.0,,0.0,,,0.0,0.0,,23,2018.0,PMC5753597,[],0.0,,0.0,0,0,1,0,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,24239623.0,,,,,,,,,,,,,PMC3914206,"['6005515', '5085159', '5056618', '3683888', '4854315', '5734625']",6.0,"[2018, 2016, 2016, 2013, 2016, 2015]",0.0,0,0,0,0,1,0,0,internal
,,,,,,1.0,,,,,,,,,,,28356511.0,,,,,,,,,,,,,PMC5576451,"['5452343', '5728172', '5750275', '5676468', '5945959', '5498553', '5524429', '5901717', '5760849']",9.0,"[0, 0, 0, 0, 2018, 2017, 2017, 2017, 2017]",0.0,0,0,0,0,0,0,1,internal
,,,,,,1.0,,,,,,,,,,,29533785.0,,,,,,,,,,,,,PMC5926201,"['6029450', '6070978']",2.0,"[0, 2018]",0.0,0,1,0,0,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,29020637.0,,,,,,,,,,,,,PMC5648071,"['5787088', '5913284']",2.0,"[2018, 2018]",0.0,0,1,0,0,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,25759024.0,,,,,,,,,,,,,PMC4398996,"['5819998', '5269532', '6030474', '4761370', '4821611', '5027233', '5351597', '5050154', '4976141', '6071023', '5377910', '5309189', '5876637', '5305212', '5059112', '5659308', '5635262', '5687582', '5446704', '5352070', '4756277', '4734742', '4625054', '5041889', '5496928', '5532068', '5326619', '4726162', '5117788', '5957297', '5296241', '5559467', '5539948', '5116389', '4747398', '5003168', '5036789', '5003022', '4977389', '5423150', '4796802', '5923354', '4889949', '5078044', '5334473']",45.0,"[2017, 2016, 2018, 2016, 2016, 2016, 2016, 2016, 2016, 2018, 2016, 2017, 2018, 2017, 0, 0, 0, 2017, 2017, 2016, 2016, 2015, 2015, 2016, 2017, 2017, 2016, 2016, 2016, 0, 2017, 2017, 2017, 2016, 2015, 2016, 2016, 2016, 2016, 2015, 2016, 2018, 2016, 2016, 0]",0.0,0,0,0,0,0,1,0,internal
,,,,,,1.0,,,,,,,,,,,28566428.0,,,,,,,,,,,,,PMC5919217,"['6097899', '5705017', '6096977', '6027790', '6070142']",5.0,"[2018, 0, 2018, 2018, 2018]",0.0,0,1,0,0,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,29899058.0,,,,,,,,,,,,,PMC6028496,[],0.0,,0.0,0,0,0,1,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,29092953.0,,,,,,,,,,,,,PMC5751940,"['5957518', '5836077', '6075738', '6002769', '6090738']",5.0,"[0, 2018, 0, 0, 2018]",0.0,0,0,0,0,1,0,0,internal
,,,,,,1.0,,,,,,,,,,,28297679.0,,,,,,,,,,,,,PMC5493145,"['5833851', '5932605', '5980207', '5819599', '6087799', '6075847', '6102497', '6004782', '5765304', '5895605', '5732280', '5615342', '5785169', '6036745', '6013079', '5759612', '5628134', '6097926', '5586506']",19.0,"[2018, 0, 2018, 2017, 2018, 2017, 2018, 2018, 2017, 2018, 2017, 2017, 0, 2018, 2017, 2017, 2017, 2018, 2017]",0.0,0,0,0,0,1,0,0,internal
,,,,,,1.0,,,,,,,,,,,27325891.0,,,,,,,,,,,,,PMC4925018,"['4970329', '5603565', '5997752', '5768892', '5353360', '5718140']",6.0,"[0, 2017, 2018, 2017, 2016, 2017]",0.0,0,0,0,0,0,1,0,internal
,,,,,,1.0,,,,,,,,,,,28196595.0,,,,,,,,,,,,,PMC5501076,"['5951639', '5766255', '5502825', '6078165', '5583477', '5926201', '5413028', '5784992', '5830343', '5945021', '5679242', '5929350', '5538845']",13.0,"[2018, 2018, 2017, 2018, 2017, 0, 2017, 2018, 2018, 2018, 0, 2018, 2017]",0.0,0,1,0,0,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,24501304.0,,,,,,,,,,,,,PMC3918580,"['5947546', '4367691']",2.0,"[2018, 0]",0.0,0,0,0,0,1,0,0,internal
,,,,,,1.0,,,,,,,,,,,29566793.0,,,,,,,,,,,,,PMC5867896,[],0.0,,0.0,0,0,0,0,0,0,1,internal
,,,,,,1.0,,,,,,,,,,,26816394.0,,,,,,,,,,,,,PMC4786080,[],0.0,,0.0,0,0,1,0,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,27818791.0,,,,,,,,,,,,,PMC5096736,"['5494627', '5828633', '5957518', '5287227', '5936966', '6013104', '5203727', '5982584', '6010435', '5983359', '5842366', '5753182', '5959763', '6005763', '5885312', '5841793', '6082155', '6007078', '5501543']",19.0,"[2017, 2018, 0, 0, 2018, 2018, 2016, 2018, 2018, 2017, 2018, 2017, 2018, 2018, 2018, 2018, 0, 2018, 2017]",0.0,0,0,1,0,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,25844671.0,,,,,,,,,,,,,PMC4394168,"['5217750', '5679239', '4558309']",3.0,"[0, 0, 2015]",0.0,0,0,1,0,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,21802008.0,,,,,,,,,,,,,PMC3171802,"['3230241', '5484537', '4234547', '4703549', '3613576', '3312051', '3502486', '3969223', '5528360', '6045376', '4292808', '4333580', '3417414', '3750075', '4777322', '5663466', '5907057', '4075008', '5039764', '4675648', '4826481', '4605435', '4938715', '5484535', '5173065']",25.0,"[2011, 2016, 2014, 2015, 0, 0, 2012, 2013, 2012, 2018, 2014, 2014, 0, 2013, 2015, 2017, 0, 2014, 2016, 2015, 0, 2015, 2016, 2016, 2016]",0.0,0,0,0,0,1,0,0,internal
,,,,,,1.0,,,,,,,,,,,29092939.0,,,,,,,,,,,,,PMC5679242,[],0.0,,0.0,0,1,0,0,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,26917859.0,,,,,,,,,,,,,PMC4762062,[],0.0,,0.0,0,0,1,0,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,28384479.0,,,,,,,,,,,,,PMC5595097,"['5981262', '5835833', '6063327', '5984647', '6083872', '5678982', '5998080', '6015541', '5800968', '5812426', '5886148', '5854632', '5706770', '5568450', '6034118', '6010627', '6063913', '5641681']",18.0,"[2018, 2018, 2018, 2018, 2018, 0, 2018, 2018, 2018, 2018, 2017, 2018, 2017, 2017, 2018, 0, 2018, 2017]",0.0,0,0,0,0,0,0,1,internal
,,,,,,1.0,,,,,,,,,,,26309811.0,,,,,,,,,,,,,PMC4545575,[],0.0,,0.0,0,0,0,1,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,28628244.0,,,,,,,,,,,,,PMC5676468,"['5869505', '5945959', '5833406']",3.0,"[2018, 2018, 2018]",0.0,0,0,0,0,0,0,1,internal
,,,,,,1.0,,,,,,,,,,,29233821.0,,,,,,,,,,,,,PMC5824337,[],0.0,,0.0,1,0,0,0,0,0,0,internal
,,,,,,1.0,,,,,,,,,,,26526695.0,,,,,,,,,,,,,PMC4633700,[],0.0,,0.0,0,1,0,0,0,0,0,internal
